voc_id,masked_title,masked_content,large_category,middle_category,small_code,small_category,label_confirmed_yn,masking_review_yn,is_synthetic
VOC09176,등록 연락처 수정 요청,번호 변경 후 로그인 인증 문자가 이전 번호로 발송됩니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC07410,접수한 사고는 어떻게 진행되고 있나요,제출한 서류가 정상적으로 접수됐는지 알고 싶습니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC02660,아이디 입력 후 접속 오류,아이디와 비밀번호를 입력해도 로그인 오류가 발생합니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC02434,계속 로그인에 실패합니다,[에러코드] 메시지가 표시되면서 앱에 접속할 수 없습니다. 앱을 다시 실행해도 같은 상태입니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC01386,포인트를 사용할 수 있는 곳 관련 기준도 함께 알려주세요.,현재 보유한 포인트를 어디에서 사용할 수 있는지 알려주세요.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC01015,포인트 적립 처리 중 문의,오늘 주행을 마쳤는데 포인트가 아직 반영되지 않았습니다. 보통 얼마나 걸리나요? 빠른 확인 요청드립니다.,포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC00012,포인트가 누락된 것 같습니다 처리 방법을 안내해주세요.,운전 기록은 정상적으로 보이지만 포인트가 들어오지 않았습니다. 이전에 정상적으로 이용한 적이 있습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC01636,포인트 사용 가능 서비스 문의 처리 방법을 안내해주세요.,앱에 [금액] 포인트가 있는데 사용 가능한 항목을 확인하고 싶습니다.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC01098,운전 후 포인트 반영 시간 문의,"포인트가 바로 들어오는지, 일정 시간이 필요한지 문의드립니다.",포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC05645,회원 탈퇴를 요청합니다,계정과 저장된 개인정보를 삭제하는 절차를 알려주세요.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC02011,로그인 화면에서 넘어가지 않아요,로그인 버튼을 눌러도 화면이 그대로입니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC02689,새 비밀번호 등록 문의,비밀번호 찾기 과정에서 [전화번호]로 인증번호가 오지 않습니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC00082,주행 포인트 미적립 문의,운전 기록은 정상적으로 보이지만 포인트가 들어오지 않았습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC01014,포인트 적립 처리 중 문의,방금 운전한 기록은 보이는데 포인트는 처리 중으로 표시됩니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC01173,포인트 반영이 늦어지고 있습니다,"포인트가 바로 들어오는지, 일정 시간이 필요한지 문의합니다.",포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC01411,포인트를 사용할 수 있는 곳,현재 보유한 포인트를 어디에서 사용할 수 있는지 안내 부탁드립니다. 관련 기준도 함께 알려주세요.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC01914,포인트 사용 가능 서비스 문의,포인트 사용 가능한 서비스와 제한 조건이 궁금합니다.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC01838,보유 포인트 사용 방법,보험료 결제 외에도 포인트를 사용할 수 있는 곳이 있나요?,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC00518,주행 후 포인트가 없습니다,[출발지]-[도착지] 구간을 운전했는데 적립 내역이 확인되지 않습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC05192,기존 차량 삭제 후 신규 등록,차량을 교체해서 앱의 등록 정보를 수정하고 싶습니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC02440,아이디 입력 후 접속 오류 빠른 확인 요청드립니다.,[오류코드] 메시지가 표시되면서 앱에 접속할 수 없습니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC02566,앱 로그인이 되지 않습니다 앱에서 확인이 어려워 문의드립니다.,여러 번 시도했지만 인증 후 다시 로그인 화면으로 돌아옵니다. 현재 화면에서 직접 수정할 수 없습니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC04978,앱 차량정보 수정 문의,보험 계약 차량은 변경됐는데 앱에는 이전 차량이 표시됩니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC06865,업데이트 후 앱이 열리지 않아요,업데이트 이후 첫 화면에서 멈추고 다음으로 넘어가지 않습니다. 처리 방법을 안내해주세요.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC03052,비밀번호를 재설정하고 싶습니다,비밀번호가 기억나지 않아 재설정하려고 합니다. 처리 방법을 안내해주세요.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC08231,계약정보가 다르게 표시됩니다 빠른 확인 요청드립니다.,갱신한 계약이 앱에서 이전 계약으로 보입니다. 처리 방법을 안내해주세요.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC07615,보상 처리 단계 문의 앱에서 확인이 어려워 문의드립니다.,사고 접수 이후 진행 상황 안내를 받지 못했습니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC07279,서비스 실행 불가 문의,앱을 실행하면 [에러코드] 오류가 표시되고 바로 종료됩니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC01637,포인트 사용 가능 서비스 문의 빠른 확인 요청드립니다.,현재 보유한 포인트를 어디에서 사용할 수 있는지 알려주세요.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC09122,등록 연락처 수정 요청,기존 번호 [전화번호]에서 새 번호 [새전화번호]로 변경하고 싶습니다. 관련 기준도 함께 알려주세요. 필요한 확인 항목이 있다면 안내 부탁드립니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC00812,포인트 반영이 늦어지고 있습니다,[시간]에 주행을 종료했습니다. 포인트 반영 예정 시간을 알고 싶습니다. 현재 화면에서 직접 수정할 수 없습니다.,포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC01523,포인트 사용처가 궁금합니다,포인트 사용 가능한 서비스와 제한 조건이 궁금합니다. 이전에 정상적으로 이용한 적이 있습니다.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC05374,더 이상 서비스를 이용하지 않습니다,계정과 저장된 개인정보를 삭제하는 절차를 알려주세요.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC06566,잘못 차감된 포인트 문의 처리 방법을 안내해주세요.,포인트 내역에 알 수 없는 차감 기록이 있습니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC01716,포인트 사용처가 궁금합니다 확인 부탁드립니다.,보험료 결제 외에도 포인트를 사용할 수 있는 곳이 있나요?,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC05186,기존 차량 삭제 후 신규 등록 앱에서 확인이 어려워 문의드립니다.,보험 계약 차량은 변경됐는데 앱에는 이전 차량이 표시됩니다. 현재 화면에서 직접 수정할 수 없습니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC02356,로그인 화면에서 넘어가지 않아요,아이디와 비밀번호를 입력해도 로그인 오류가 발생합니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC01207,포인트가 아직 처리되지 않았어요,오늘 주행을 마쳤는데 포인트가 아직 반영되지 않았습니다. 보통 얼마나 걸리나요? 처리 방법을 안내해주세요.,포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC05381,더 이상 서비스를 이용하지 않습니다 확인 부탁드립니다.,더 이상 서비스를 이용하지 않아 회원 탈퇴를 진행하고 싶습니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC09735,주행 포인트 산정 방법 문의,주행거리와 운전점수에 따라 포인트가 어떻게 산정되는지 알고 싶습니다.,포인트,적립기준,S015,포인트 적립 기준 문의,Y,Y,Y
VOC07572,사고 처리 진행 상황 문의 빠른 확인 요청드립니다.,사고 접수 이후 진행 상황 안내를 받지 못했습니다. 처리 방법을 안내해주세요.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC09665,포인트 적립 기준이 궁금합니다,급가속이나 급감속 기록이 포인트 적립에 영향을 주나요? 관련 기준도 함께 알려주세요.,포인트,적립기준,S015,포인트 적립 기준 문의,Y,Y,Y
VOC04770,차량을 변경했습니다,차량번호 변경 후 주행 서비스 연결 방법을 문의드립니다. 관련 기준도 함께 알려주세요. 앱을 다시 실행해도 같은 상태입니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC03835,운전한 내역이 앱에 없습니다,[접수일]에 [출발지]-[도착지] 구간을 운전했는데 앱에서 기록이 보이지 않습니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC01667,포인트를 사용할 수 있는 곳,보험료 결제 외에도 포인트를 사용할 수 있는 곳이 있나요?,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC05956,회원 탈퇴를 요청합니다 앱에서 확인이 어려워 문의드립니다.,회원 탈퇴 시 남은 포인트와 주행기록이 어떻게 처리되는지 궁금합니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC05357,앱 회원 탈퇴 방법 문의,앱에서 탈퇴 메뉴를 찾을 수 없어 확인 요청드립니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC03863,최근 주행기록 누락 문의,운전을 완료했지만 최근 주행 목록에 추가되지 않았습니다. 관련 기준도 함께 알려주세요.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC06087,포인트 차감 내역이 이상합니다,포인트 사용 이력과 실제 잔액이 맞지 않습니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC02059,계정 접속이 불가능합니다,기존에 사용하던 계정으로 접속되지 않아 문의드립니다. 동일 현상이 반복되고 있습니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC08384,계약정보가 다르게 표시됩니다,갱신한 계약이 앱에서 이전 계약으로 보입니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC08001,사고 처리 진행 상황 문의,사고 접수 이후 진행 상황 안내를 받지 못했습니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC08207,계약정보가 다르게 표시됩니다 확인 부탁드립니다.,증권번호 [증권번호]의 차량정보가 현재 차량과 일치하지 않습니다. 앱을 다시 실행해도 같은 상태입니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC09008,기존 전화번호 변경 문의,기존 번호 [전화번호]에서 새 번호 [변경전화번호]로 변경하고 싶습니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC00454,주행 포인트가 적립되지 않았습니다,운전 기록은 정상적으로 보이지만 포인트가 들어오지 않았습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC09102,등록 연락처 수정 요청,새 번호로 본인 인증을 진행하는 방법을 확인 부탁드립니다. 확인 부탁드립니다. 이전에 정상적으로 이용한 적이 있습니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC05150,차량을 변경했습니다,차량번호 변경 후 주행 서비스 연결 방법을 문의드립니다. 앱을 다시 실행해도 같은 상태입니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC09200,휴대전화 번호를 변경하고 싶습니다 앱에서 확인이 어려워 문의드립니다.,등록된 연락처가 실제 사용하는 번호와 달라 수정 요청드립니다. 확인 부탁드립니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC07644,접수한 사고는 어떻게 진행되고 있나요 빠른 확인 요청드립니다.,보상 심사가 어느 단계까지 진행됐는지 확인 부탁드립니다. 이전에 정상적으로 이용한 적이 있습니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC09369,어떤 주행이 포인트 대상인가요,급가속이나 급감속 기록이 포인트 적립에 영향을 주나요? 앱을 다시 실행해도 같은 상태입니다.,포인트,적립기준,S015,포인트 적립 기준 문의,Y,Y,Y
VOC08422,증권 정보 수정 문의,갱신한 계약이 앱에서 이전 계약으로 보입니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC09214,회원정보의 전화번호가 다릅니다,번호 변경 후 로그인 인증 문자가 이전 번호로 발송됩니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC01569,적립 포인트는 어디서 쓰나요,포인트 사용 가능한 서비스와 제한 조건이 궁금합니다.,포인트,사용,S003,포인트 사용처 문의,Y,Y,Y
VOC00040,포인트가 누락된 것 같습니다,[접수일]에 주행을 완료했는데 포인트가 아직 적립되지 않았습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC03953,운전한 내역이 앱에 없습니다 앱에서 확인이 어려워 문의드립니다.,[날짜]에 [주행구간] 구간을 운전했는데 앱에서 기록이 보이지 않습니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC03918,앱에서 운전 기록 확인 불가,[날짜]에 [주행구간] 구간을 운전했는데 앱에서 기록이 보이지 않습니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC08263,계약정보가 다르게 표시됩니다,증권번호 [계약번호]의 차량정보가 현재 차량과 일치하지 않습니다. 앱을 다시 실행해도 같은 상태입니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC00245,운전했는데 포인트가 안 들어왔어요,지난 주행 건에 대한 포인트를 받지 못했습니다. 확인 부탁드립니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC03790,주행 데이터가 반영되지 않았어요,주행 종료 후에도 거리와 시간이 0으로 표시됩니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC03620,앱에서 운전 기록 확인 불가,[접수일]에 [출발지]에서 [도착지]까지 구간을 운전했는데 앱에서 기록이 보이지 않습니다. 확인 부탁드립니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC02758,비밀번호 찾기 인증 오류,본인 인증 후 비밀번호 재설정 화면으로 이동하지 않습니다.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC02645,앱 로그인이 되지 않습니다,여러 번 시도했지만 인증 후 다시 로그인 화면으로 돌아옵니다. 확인 부탁드립니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC02690,비밀번호를 재설정하고 싶습니다,비밀번호 찾기 과정에서 [기존전화번호]로 인증번호가 오지 않습니다.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC03869,최근 주행기록 누락 문의,해당 시간대의 운전 내역이 누락되어 확인 요청드립니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC00559,주행 포인트 미적립 문의,[날짜]에 주행을 완료했는데 포인트가 아직 적립되지 않았습니다. 이전에 정상적으로 이용한 적이 있습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC07573,접수한 사고는 어떻게 진행되고 있나요,보상 심사가 어느 단계까지 진행됐는지 확인 부탁드립니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC08135,증권 정보 수정 문의,보험 계약 정보 중 일부 항목이 잘못되어 수정 요청드립니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC02282,앱 로그인이 정상적으로 처리되지 않습니다,[오류코드] 메시지가 표시되면서 앱에 접속할 수 없습니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC03303,비밀번호 변경이 되지 않습니다,비밀번호가 기억나지 않아 재설정하려고 합니다. 앱에서 확인이 어려워 문의드립니다.,회원,계정관리,S005,비밀번호 재설정,Y,Y,Y
VOC04210,계약 할인 적용 상태 문의,앱에는 할인 대상이라고 나오는데 실제 보험료에 적용됐는지 알고 싶습니다.,보험,할인,S007,보험료 할인 적용 문의,Y,Y,Y
VOC08740,기존 전화번호 변경 문의 확인 부탁드립니다.,번호 변경 후 로그인 인증 문자가 이전 번호로 발송됩니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC08131,보험 계약자 정보 오류,계약 기간과 보험료 정보가 가입 당시 안내와 다르게 표시됩니다. 처리 방법을 안내해주세요.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC05743,가입 정보 삭제 요청,회원 탈퇴 시 남은 포인트와 주행기록이 어떻게 처리되는지 궁금합니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC06875,앱이 계속 종료됩니다,재설치 후에도 동일하게 앱이 강제 종료됩니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC00226,주행 포인트 미적립 문의,운전 기록은 정상적으로 보이지만 포인트가 들어오지 않았습니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC06580,포인트가 갑자기 줄었습니다,결제를 취소했는데 차감된 포인트가 복구되지 않았습니다. 이전에 정상적으로 이용한 적이 있습니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC00503,주행 후 포인트가 없습니다 앱에서 확인이 어려워 문의드립니다.,주행 조건을 충족한 것으로 보이는데 포인트가 0으로 표시됩니다. 필요한 확인 항목이 있다면 안내 부탁드립니다.,포인트,적립,S001,주행 포인트 미적립,Y,Y,Y
VOC07226,앱 실행 중 오류가 발생합니다,재설치 후에도 동일하게 앱이 강제 종료됩니다. 앱을 다시 실행해도 같은 상태입니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC02565,아이디 입력 후 접속 오류,여러 번 시도했지만 인증 후 다시 로그인 화면으로 돌아옵니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC05750,앱 회원 탈퇴 방법 문의,앱에서 탈퇴 메뉴를 찾을 수 없어 확인 요청드립니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC05788,가입 정보 삭제 요청,계정과 저장된 개인정보를 삭제하는 절차를 알려주세요. 확인 부탁드립니다. 현재 화면에서 직접 수정할 수 없습니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC08691,기존 전화번호 변경 문의 빠른 확인 요청드립니다.,번호 변경 후 로그인 인증 문자가 이전 번호로 발송됩니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC08852,새 번호로 인증받고 싶어요 앱에서 확인이 어려워 문의드립니다.,번호 변경 후 로그인 인증 문자가 이전 번호로 발송됩니다.,회원,회원정보,S014,휴대전화 번호 변경,Y,Y,Y
VOC05800,서비스 계정을 삭제하고 싶어요,더 이상 서비스를 이용하지 않아 회원 탈퇴를 진행하고 싶습니다.,회원,계정관리,S009,회원 탈퇴,Y,Y,Y
VOC05032,차량을 변경했습니다,보험 계약 차량은 변경됐는데 앱에는 이전 차량이 표시됩니다.,차량,차량정보,S008,차량정보 변경,Y,Y,Y
VOC08520,보험 계약자 정보 오류,증권번호 [증권번호]의 차량정보가 현재 차량과 일치하지 않습니다. 관련 기준도 함께 알려주세요.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC08214,계약정보가 다르게 표시됩니다,갱신한 계약이 앱에서 이전 계약으로 보입니다. 관련 기준도 함께 알려주세요.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC08427,계약 차량 정보 불일치,보험 계약 정보 중 일부 항목이 잘못되어 수정 요청드립니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC02050,로그인 화면에서 넘어가지 않아요,아이디와 비밀번호를 입력해도 로그인 오류가 발생합니다.,회원,로그인,S004,로그인 오류,Y,Y,Y
VOC07989,사건번호 처리 상태 확인,보상 심사가 어느 단계까지 진행됐는지 확인 부탁드립니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC03843,최근 주행기록 누락 문의,해당 시간대의 운전 내역이 누락되어 확인 요청드립니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC06241,사용하지 않은 포인트가 차감됐어요 앱에서 확인이 어려워 문의드립니다.,어제 확인한 잔액과 오늘 잔액이 달라서 문의드립니다.,포인트,차감,S010,포인트 오차감,Y,Y,Y
VOC01053,포인트 반영이 늦어지고 있습니다 확인 부탁드립니다.,오늘 주행을 마쳤는데 포인트가 아직 반영되지 않았습니다. 보통 얼마나 걸리나요?,포인트,적립,S002,주행 포인트 적립 지연,Y,Y,Y
VOC04054,보험료 할인이 반영됐나요 빠른 확인 요청드립니다.,갱신 계약에 주행분석 할인 혜택이 반영되는지 문의드립니다.,보험,할인,S007,보험료 할인 적용 문의,Y,Y,Y
VOC07808,사건번호 처리 상태 확인,제출한 서류가 정상적으로 접수됐는지 알고 싶습니다.,사고,처리현황,S012,사고 처리 진행 문의,Y,Y,Y
VOC08190,계약 차량 정보 불일치,갱신한 계약이 앱에서 이전 계약으로 보입니다.,보험,계약정보,S013,계약정보 불일치,Y,Y,Y
VOC07073,앱이 계속 종료됩니다,앱을 실행하면 [에러코드] 오류가 표시되고 바로 종료됩니다. 동일 현상이 반복되고 있습니다.,앱,오류,S011,앱 실행 오류,Y,Y,Y
VOC03396,앱에서 운전 기록 확인 불가,주행 종료 후에도 거리와 시간이 0으로 표시됩니다.,주행,주행기록,S006,주행기록 미반영,Y,Y,Y
VOC09688,포인트 적립 기준이 확인하고 싶습니다,짧은 거리 주행도 포인트 적립 대상인지 문의드립니다.,포인트,적립기준,S015,포인트 적립 기준 문의,Y,Y,Y
